INFO 2025-04-04 05:28:04,596 autoreload Watching for file changes with StatReloader
INFO 2025-04-04 06:04:34,127 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-05-06 13:23:37,389 autoreload Watching for file changes with StatReloader
WARNING 2025-05-06 13:26:03,126 log Not Found: /
WARNING 2025-05-06 13:26:03,127 basehttp "GET / HTTP/1.1" 404 2479
WARNING 2025-05-06 13:26:03,321 log Not Found: /favicon.ico
WARNING 2025-05-06 13:26:03,324 basehttp "GET /favicon.ico HTTP/1.1" 404 2530
INFO 2025-05-06 14:02:26,830 basehttp "OPTIONS /api/profile/ HTTP/1.1" 200 0
INFO 2025-05-06 14:02:26,832 basehttp "OPTIONS /api/profile/ HTTP/1.1" 200 0
WARNING 2025-05-06 14:02:26,894 log Unauthorized: /api/profile/
WARNING 2025-05-06 14:02:26,896 basehttp "GET /api/profile/ HTTP/1.1" 401 172
WARNING 2025-05-06 14:02:26,900 log Unauthorized: /api/profile/
WARNING 2025-05-06 14:02:26,902 basehttp "GET /api/profile/ HTTP/1.1" 401 172
INFO 2025-05-06 14:02:26,903 basehttp "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
WARNING 2025-05-06 14:02:26,909 log Unauthorized: /api/token/refresh/
WARNING 2025-05-06 14:02:26,912 log Unauthorized: /api/token/refresh/
WARNING 2025-05-06 14:02:26,913 basehttp "POST /api/token/refresh/ HTTP/1.1" 401 54
WARNING 2025-05-06 14:02:26,913 basehttp "POST /api/token/refresh/ HTTP/1.1" 401 54
INFO 2025-05-06 14:02:29,198 basehttp "OPTIONS /api/token/ HTTP/1.1" 200 0
INFO 2025-05-06 14:02:30,396 token_views User authenticated: markcollins, Role: lecturer
INFO 2025-05-06 14:02:30,396 basehttp "POST /api/token/ HTTP/1.1" 200 666
INFO 2025-05-06 14:02:30,450 basehttp "OPTIONS /api/notifications/ HTTP/1.1" 200 0
INFO 2025-05-06 14:02:30,453 basehttp "OPTIONS /api/issues/ HTTP/1.1" 200 0
INFO 2025-05-06 14:02:30,458 basehttp "OPTIONS /api/issues/ HTTP/1.1" 200 0
INFO 2025-05-06 14:02:30,516 basehttp "GET /api/notifications/ HTTP/1.1" 200 443
INFO 2025-05-06 14:02:30,523 basehttp "OPTIONS /api/notifications/unread-count/ HTTP/1.1" 200 0
INFO 2025-05-06 14:02:30,529 basehttp "GET /api/issues/ HTTP/1.1" 200 483
WARNING 2025-05-06 14:02:30,538 log Not Found: /api/notifications/unread-count/
INFO 2025-05-06 14:02:30,544 basehttp "GET /api/notifications/ HTTP/1.1" 200 443
WARNING 2025-05-06 14:02:30,546 basehttp "GET /api/notifications/unread-count/ HTTP/1.1" 404 23
INFO 2025-05-06 14:02:30,556 basehttp "GET /api/issues/ HTTP/1.1" 200 483
WARNING 2025-05-06 14:02:30,560 log Not Found: /api/notifications/unread-count/
WARNING 2025-05-06 14:02:30,565 basehttp "GET /api/notifications/unread-count/ HTTP/1.1" 404 23
INFO 2025-05-06 14:02:30,575 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,611 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,630 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,647 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,664 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,731 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,750 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,767 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,788 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,806 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,829 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,847 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,899 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,944 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:30,997 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,033 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,054 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,073 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,094 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,118 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,141 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,164 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,182 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,200 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,220 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,240 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,263 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,280 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,298 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,315 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,331 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,350 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,371 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,392 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,412 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,432 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,452 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,470 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,488 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,509 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,528 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,548 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,567 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,609 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,637 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,665 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,687 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,714 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,751 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,782 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,820 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,848 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,881 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,900 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,917 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,938 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,956 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,973 basehttp "GET /api/issues/ HTTP/1.1" 200 483
INFO 2025-05-06 14:02:31,993 basehttp "GET /api/issues/ HTTP/1.1" 200 483
